dataset,group,source_instance,source_member,output_path
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-72PbiQhHJHM-unsplash.jpg,datasets/partial/Concept/car/car_0001.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-E5QW_maORfg-unsplash.jpg,datasets/partial/Concept/car/car_0002.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-ERdWJrv9FeY-unsplash.jpg,datasets/partial/Concept/car/car_0003.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-N1p9Ih0qq-c-unsplash.jpg,datasets/partial/Concept/car/car_0004.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-OfM1G5mWrdU-unsplash.jpg,datasets/partial/Concept/car/car_0005.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-WyZh1SAPLQw-unsplash.jpg,datasets/partial/Concept/car/car_0006.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-jUlXwWok3xY-unsplash.jpg,datasets/partial/Concept/car/car_0007.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-maU12ShTjtY-unsplash.jpg,datasets/partial/Concept/car/car_0008.jpg
Concept,car,transport_car3,__MACOSX/benchmark_dataset/transport_car3/._martin-katler-nH6uHS1g5Vw-unsplash.jpg,datasets/partial/Concept/car/car_0009.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-72PbiQhHJHM-unsplash.jpg,datasets/partial/Concept/car/car_0010.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-E5QW_maORfg-unsplash.jpg,datasets/partial/Concept/car/car_0011.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-ERdWJrv9FeY-unsplash.jpg,datasets/partial/Concept/car/car_0012.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-N1p9Ih0qq-c-unsplash.jpg,datasets/partial/Concept/car/car_0013.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-OfM1G5mWrdU-unsplash.jpg,datasets/partial/Concept/car/car_0014.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-WyZh1SAPLQw-unsplash.jpg,datasets/partial/Concept/car/car_0015.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-jUlXwWok3xY-unsplash.jpg,datasets/partial/Concept/car/car_0016.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-maU12ShTjtY-unsplash.jpg,datasets/partial/Concept/car/car_0017.jpg
Concept,car,transport_car3,benchmark_dataset/transport_car3/martin-katler-nH6uHS1g5Vw-unsplash.jpg,datasets/partial/Concept/car/car_0018.jpg
Concept,car,transport_car2,__MACOSX/benchmark_dataset/transport_car2/._martin-katler-55BRE27Odjs-unsplash.jpg,datasets/partial/Concept/car/car_0019.jpg
