dataset,group,artist,genre,source_shard,source_row,output_path
WikiArt,Realism,vincent-van-gogh,landscape,train-00000-of-00072.parquet,0,datasets/partial/WikiArt/realism/realism_0001.jpg
WikiArt,Baroque,rembrandt,religious_painting,train-00000-of-00072.parquet,1,datasets/partial/WikiArt/baroque/baroque_0001.jpg
WikiArt,Post_Impressionism,paul-cezanne,portrait,train-00000-of-00072.parquet,2,datasets/partial/WikiArt/post_impressionism/post_impressionism_0001.jpg
WikiArt,Impressionism,pierre-auguste-renoir,genre_painting,train-00000-of-00072.parquet,3,datasets/partial/WikiArt/impressionism/impressionism_0001.jpg
WikiArt,Romanticism,ivan-aivazovsky,Unknown Genre,train-00000-of-00072.parquet,4,datasets/partial/WikiArt/romanticism/romanticism_0001.jpg
WikiArt,Art_Nouveau,boris-kustodiev,genre_painting,train-00000-of-00072.parquet,5,datasets/partial/WikiArt/art_nouveau/art_nouveau_0001.jpg
WikiArt,Realism,vincent-van-gogh,Unknown Genre,train-00000-of-00072.parquet,6,datasets/partial/WikiArt/realism/realism_0002.jpg
WikiArt,Romanticism,ivan-aivazovsky,landscape,train-00000-of-00072.parquet,7,datasets/partial/WikiArt/romanticism/romanticism_0002.jpg
WikiArt,Northern_Renaissance,albrecht-durer,religious_painting,train-00000-of-00072.parquet,8,datasets/partial/WikiArt/northern_renaissance/northern_renaissance_0001.jpg
WikiArt,Realism,john-singer-sargent,portrait,train-00000-of-00072.parquet,9,datasets/partial/WikiArt/realism/realism_0003.jpg
WikiArt,Romanticism,ivan-aivazovsky,landscape,train-00000-of-00072.parquet,10,datasets/partial/WikiArt/romanticism/romanticism_0003.jpg
WikiArt,Symbolism,nicholas-roerich,genre_painting,train-00000-of-00072.parquet,11,datasets/partial/WikiArt/symbolism/symbolism_0001.jpg
WikiArt,Symbolism,nicholas-roerich,landscape,train-00000-of-00072.parquet,12,datasets/partial/WikiArt/symbolism/symbolism_0002.jpg
WikiArt,Realism,boris-kustodiev,portrait,train-00000-of-00072.parquet,13,datasets/partial/WikiArt/realism/realism_0004.jpg
WikiArt,Impressionism,pierre-auguste-renoir,portrait,train-00000-of-00072.parquet,14,datasets/partial/WikiArt/impressionism/impressionism_0002.jpg
WikiArt,Naive_Art_Primitivism,marc-chagall,still_life,train-00000-of-00072.parquet,15,datasets/partial/WikiArt/naive_art_primitivism/naive_art_primitivism_0001.jpg
WikiArt,Realism,vincent-van-gogh,sketch_and_study,train-00000-of-00072.parquet,16,datasets/partial/WikiArt/realism/realism_0005.jpg
WikiArt,Romanticism,gustave-dore,illustration,train-00000-of-00072.parquet,17,datasets/partial/WikiArt/romanticism/romanticism_0004.jpg
WikiArt,Romanticism,ivan-aivazovsky,landscape,train-00000-of-00072.parquet,18,datasets/partial/WikiArt/romanticism/romanticism_0005.jpg
WikiArt,Romanticism,gustave-dore,illustration,train-00000-of-00072.parquet,19,datasets/partial/WikiArt/romanticism/romanticism_0006.jpg
WikiArt,Baroque,rembrandt,sketch_and_study,train-00000-of-00072.parquet,20,datasets/partial/WikiArt/baroque/baroque_0002.jpg
WikiArt,Realism,pyotr-konchalovsky,landscape,train-00000-of-00072.parquet,21,datasets/partial/WikiArt/realism/realism_0006.jpg
WikiArt,Impressionism,pierre-auguste-renoir,cityscape,train-00000-of-00072.parquet,22,datasets/partial/WikiArt/impressionism/impressionism_0003.jpg
WikiArt,Expressionism,martiros-saryan,sketch_and_study,train-00000-of-00072.parquet,23,datasets/partial/WikiArt/expressionism/expressionism_0001.jpg
WikiArt,Baroque,rembrandt,portrait,train-00000-of-00072.parquet,24,datasets/partial/WikiArt/baroque/baroque_0003.jpg
WikiArt,Impressionism,claude-monet,cityscape,train-00000-of-00072.parquet,25,datasets/partial/WikiArt/impressionism/impressionism_0004.jpg
WikiArt,Symbolism,nicholas-roerich,landscape,train-00000-of-00072.parquet,26,datasets/partial/WikiArt/symbolism/symbolism_0003.jpg
WikiArt,Expressionism,martiros-saryan,Unknown Genre,train-00000-of-00072.parquet,27,datasets/partial/WikiArt/expressionism/expressionism_0002.jpg
WikiArt,Realism,ivan-shishkin,sketch_and_study,train-00000-of-00072.parquet,28,datasets/partial/WikiArt/realism/realism_0007.jpg
WikiArt,Realism,vincent-van-gogh,nude_painting,train-00000-of-00072.parquet,29,datasets/partial/WikiArt/realism/realism_0008.jpg
WikiArt,Realism,vincent-van-gogh,portrait,train-00000-of-00072.parquet,30,datasets/partial/WikiArt/realism/realism_0009.jpg
WikiArt,Northern_Renaissance,albrecht-durer,religious_painting,train-00000-of-00072.parquet,31,datasets/partial/WikiArt/northern_renaissance/northern_renaissance_0002.jpg
WikiArt,Post_Impressionism,paul-cezanne,still_life,train-00000-of-00072.parquet,32,datasets/partial/WikiArt/post_impressionism/post_impressionism_0002.jpg
WikiArt,Naive_Art_Primitivism,marc-chagall,Unknown Genre,train-00000-of-00072.parquet,33,datasets/partial/WikiArt/naive_art_primitivism/naive_art_primitivism_0002.jpg
WikiArt,Expressionism,pablo-picasso,portrait,train-00000-of-00072.parquet,34,datasets/partial/WikiArt/expressionism/expressionism_0003.jpg
WikiArt,Romanticism,ivan-aivazovsky,landscape,train-00000-of-00072.parquet,35,datasets/partial/WikiArt/romanticism/romanticism_0007.jpg
WikiArt,Naive_Art_Primitivism,marc-chagall,religious_painting,train-00000-of-00072.parquet,36,datasets/partial/WikiArt/naive_art_primitivism/naive_art_primitivism_0003.jpg
WikiArt,Art_Nouveau,nicholas-roerich,Unknown Genre,train-00000-of-00072.parquet,37,datasets/partial/WikiArt/art_nouveau/art_nouveau_0002.jpg
WikiArt,Art_Nouveau,raphael-kirchner,nude_painting,train-00000-of-00072.parquet,38,datasets/partial/WikiArt/art_nouveau/art_nouveau_0003.jpg
WikiArt,Baroque,rembrandt,portrait,train-00000-of-00072.parquet,39,datasets/partial/WikiArt/baroque/baroque_0004.jpg
WikiArt,Impressionism,pierre-auguste-renoir,still_life,train-00000-of-00072.parquet,40,datasets/partial/WikiArt/impressionism/impressionism_0005.jpg
WikiArt,Realism,ilya-repin,portrait,train-00000-of-00072.parquet,41,datasets/partial/WikiArt/realism/realism_0010.jpg
WikiArt,Symbolism,nicholas-roerich,sketch_and_study,train-00000-of-00072.parquet,42,datasets/partial/WikiArt/symbolism/symbolism_0004.jpg
WikiArt,Impressionism,eugene-boudin,landscape,train-00000-of-00072.parquet,43,datasets/partial/WikiArt/impressionism/impressionism_0006.jpg
WikiArt,Impressionism,pierre-auguste-renoir,still_life,train-00000-of-00072.parquet,44,datasets/partial/WikiArt/impressionism/impressionism_0007.jpg
WikiArt,Expressionism,salvador-dali,genre_painting,train-00000-of-00072.parquet,45,datasets/partial/WikiArt/expressionism/expressionism_0004.jpg
WikiArt,Northern_Renaissance,albrecht-durer,portrait,train-00000-of-00072.parquet,46,datasets/partial/WikiArt/northern_renaissance/northern_renaissance_0003.jpg
WikiArt,Post_Impressionism,paul-cezanne,landscape,train-00000-of-00072.parquet,47,datasets/partial/WikiArt/post_impressionism/post_impressionism_0003.jpg
WikiArt,Realism,vincent-van-gogh,sketch_and_study,train-00000-of-00072.parquet,48,datasets/partial/WikiArt/realism/realism_0011.jpg
WikiArt,Post_Impressionism,pablo-picasso,genre_painting,train-00000-of-00072.parquet,49,datasets/partial/WikiArt/post_impressionism/post_impressionism_0004.jpg
WikiArt,Post_Impressionism,paul-cezanne,portrait,train-00000-of-00072.parquet,50,datasets/partial/WikiArt/post_impressionism/post_impressionism_0005.jpg
WikiArt,Art_Nouveau,raphael-kirchner,genre_painting,train-00000-of-00072.parquet,51,datasets/partial/WikiArt/art_nouveau/art_nouveau_0004.jpg
WikiArt,Realism,vincent-van-gogh,sketch_and_study,train-00000-of-00072.parquet,52,datasets/partial/WikiArt/realism/realism_0012.jpg
WikiArt,Impressionism,salvador-dali,Unknown Genre,train-00000-of-00072.parquet,53,datasets/partial/WikiArt/impressionism/impressionism_0008.jpg
WikiArt,Post_Impressionism,paul-cezanne,landscape,train-00000-of-00072.parquet,54,datasets/partial/WikiArt/post_impressionism/post_impressionism_0006.jpg
WikiArt,Baroque,rembrandt,portrait,train-00000-of-00072.parquet,55,datasets/partial/WikiArt/baroque/baroque_0005.jpg
WikiArt,Realism,boris-kustodiev,cityscape,train-00000-of-00072.parquet,56,datasets/partial/WikiArt/realism/realism_0013.jpg
WikiArt,Impressionism,paul-cezanne,landscape,train-00000-of-00072.parquet,57,datasets/partial/WikiArt/impressionism/impressionism_0009.jpg
WikiArt,Realism,boris-kustodiev,nude_painting,train-00000-of-00072.parquet,58,datasets/partial/WikiArt/realism/realism_0014.jpg
WikiArt,Symbolism,nicholas-roerich,landscape,train-00000-of-00072.parquet,59,datasets/partial/WikiArt/symbolism/symbolism_0005.jpg
WikiArt,Northern_Renaissance,albrecht-durer,portrait,train-00000-of-00072.parquet,60,datasets/partial/WikiArt/northern_renaissance/northern_renaissance_0004.jpg
WikiArt,Northern_Renaissance,albrecht-durer,genre_painting,train-00000-of-00072.parquet,61,datasets/partial/WikiArt/northern_renaissance/northern_renaissance_0005.jpg
WikiArt,Romanticism,gustave-dore,illustration,train-00000-of-00072.parquet,62,datasets/partial/WikiArt/romanticism/romanticism_0008.jpg
WikiArt,Art_Nouveau,nicholas-roerich,Unknown Genre,train-00000-of-00072.parquet,63,datasets/partial/WikiArt/art_nouveau/art_nouveau_0005.jpg
WikiArt,Realism,john-singer-sargent,genre_painting,train-00000-of-00072.parquet,64,datasets/partial/WikiArt/realism/realism_0015.jpg
WikiArt,Romanticism,ivan-aivazovsky,Unknown Genre,train-00000-of-00072.parquet,65,datasets/partial/WikiArt/romanticism/romanticism_0009.jpg
WikiArt,Romanticism,gustave-dore,illustration,train-00000-of-00072.parquet,66,datasets/partial/WikiArt/romanticism/romanticism_0010.jpg
WikiArt,Impressionism,pierre-auguste-renoir,portrait,train-00000-of-00072.parquet,67,datasets/partial/WikiArt/impressionism/impressionism_0010.jpg
WikiArt,Naive_Art_Primitivism,marc-chagall,genre_painting,train-00000-of-00072.parquet,68,datasets/partial/WikiArt/naive_art_primitivism/naive_art_primitivism_0004.jpg
WikiArt,Realism,ilya-repin,religious_painting,train-00000-of-00072.parquet,69,datasets/partial/WikiArt/realism/realism_0016.jpg
WikiArt,Northern_Renaissance,albrecht-durer,portrait,train-00000-of-00072.parquet,70,datasets/partial/WikiArt/northern_renaissance/northern_renaissance_0006.jpg
WikiArt,Impressionism,claude-monet,landscape,train-00000-of-00072.parquet,71,datasets/partial/WikiArt/impressionism/impressionism_0011.jpg
WikiArt,Realism,vincent-van-gogh,genre_painting,train-00000-of-00072.parquet,72,datasets/partial/WikiArt/realism/realism_0017.jpg
WikiArt,Symbolism,salvador-dali,religious_painting,train-00000-of-00072.parquet,73,datasets/partial/WikiArt/symbolism/symbolism_0006.jpg
WikiArt,Impressionism,edgar-degas,portrait,train-00000-of-00072.parquet,74,datasets/partial/WikiArt/impressionism/impressionism_0012.jpg
WikiArt,Impressionism,pierre-auguste-renoir,portrait,train-00000-of-00072.parquet,75,datasets/partial/WikiArt/impressionism/impressionism_0013.jpg
WikiArt,Impressionism,childe-hassam,cityscape,train-00000-of-00072.parquet,76,datasets/partial/WikiArt/impressionism/impressionism_0014.jpg
WikiArt,Impressionism,paul-cezanne,landscape,train-00000-of-00072.parquet,77,datasets/partial/WikiArt/impressionism/impressionism_0015.jpg
WikiArt,Impressionism,claude-monet,landscape,train-00000-of-00072.parquet,78,datasets/partial/WikiArt/impressionism/impressionism_0016.jpg
WikiArt,Impressionism,camille-pissarro,cityscape,train-00000-of-00072.parquet,79,datasets/partial/WikiArt/impressionism/impressionism_0017.jpg
WikiArt,Post_Impressionism,vincent-van-gogh,landscape,train-00000-of-00072.parquet,80,datasets/partial/WikiArt/post_impressionism/post_impressionism_0007.jpg
WikiArt,Impressionism,claude-monet,genre_painting,train-00000-of-00072.parquet,81,datasets/partial/WikiArt/impressionism/impressionism_0018.jpg
WikiArt,Romanticism,gustave-dore,illustration,train-00000-of-00072.parquet,82,datasets/partial/WikiArt/romanticism/romanticism_0011.jpg
WikiArt,Symbolism,nicholas-roerich,landscape,train-00000-of-00072.parquet,83,datasets/partial/WikiArt/symbolism/symbolism_0007.jpg
WikiArt,Impressionism,pierre-auguste-renoir,Unknown Genre,train-00000-of-00072.parquet,84,datasets/partial/WikiArt/impressionism/impressionism_0019.jpg
WikiArt,Impressionism,claude-monet,cityscape,train-00000-of-00072.parquet,85,datasets/partial/WikiArt/impressionism/impressionism_0020.jpg
WikiArt,Impressionism,john-singer-sargent,cityscape,train-00000-of-00072.parquet,86,datasets/partial/WikiArt/impressionism/impressionism_0021.jpg
WikiArt,Post_Impressionism,pyotr-konchalovsky,genre_painting,train-00000-of-00072.parquet,87,datasets/partial/WikiArt/post_impressionism/post_impressionism_0008.jpg
WikiArt,Art_Nouveau,boris-kustodiev,cityscape,train-00000-of-00072.parquet,88,datasets/partial/WikiArt/art_nouveau/art_nouveau_0006.jpg
WikiArt,Impressionism,pierre-auguste-renoir,nude_painting,train-00000-of-00072.parquet,89,datasets/partial/WikiArt/impressionism/impressionism_0022.jpg
WikiArt,Impressionism,paul-cezanne,genre_painting,train-00000-of-00072.parquet,90,datasets/partial/WikiArt/impressionism/impressionism_0023.jpg
WikiArt,Expressionism,marc-chagall,Unknown Genre,train-00000-of-00072.parquet,91,datasets/partial/WikiArt/expressionism/expressionism_0005.jpg
WikiArt,Impressionism,edgar-degas,landscape,train-00000-of-00072.parquet,92,datasets/partial/WikiArt/impressionism/impressionism_0024.jpg
WikiArt,Realism,ilya-repin,portrait,train-00000-of-00072.parquet,93,datasets/partial/WikiArt/realism/realism_0018.jpg
WikiArt,Impressionism,edgar-degas,landscape,train-00000-of-00072.parquet,94,datasets/partial/WikiArt/impressionism/impressionism_0025.jpg
WikiArt,Symbolism,nicholas-roerich,landscape,train-00000-of-00072.parquet,95,datasets/partial/WikiArt/symbolism/symbolism_0008.jpg
WikiArt,Impressionism,pablo-picasso,genre_painting,train-00000-of-00072.parquet,96,datasets/partial/WikiArt/impressionism/impressionism_0026.jpg
