dataset,group_by,group,artist,style,genre,source_shard,source_row,output_path
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,landscape,train-00000-of-00072.parquet,0,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0001.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,genre_painting,train-00000-of-00072.parquet,3,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0001.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,Unknown Genre,train-00000-of-00072.parquet,4,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0001.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Art_Nouveau,genre_painting,train-00000-of-00072.parquet,5,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0001.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,Unknown Genre,train-00000-of-00072.parquet,6,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0002.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,landscape,train-00000-of-00072.parquet,7,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0002.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Realism,portrait,train-00000-of-00072.parquet,9,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0001.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,landscape,train-00000-of-00072.parquet,10,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0003.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,genre_painting,train-00000-of-00072.parquet,11,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0001.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,12,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0002.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Realism,portrait,train-00000-of-00072.parquet,13,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0002.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,portrait,train-00000-of-00072.parquet,14,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0002.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,still_life,train-00000-of-00072.parquet,15,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0001.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,sketch_and_study,train-00000-of-00072.parquet,16,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0003.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,17,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0001.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,landscape,train-00000-of-00072.parquet,18,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0004.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,19,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0002.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Realism,landscape,train-00000-of-00072.parquet,21,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0001.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,cityscape,train-00000-of-00072.parquet,22,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0003.jpg
WikiArt,artist,martiros-saryan,martiros-saryan,Expressionism,sketch_and_study,train-00000-of-00072.parquet,23,datasets/partial/WikiArt_hot40_top15_artist/martiros_saryan/martiros_saryan_0001.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,cityscape,train-00000-of-00072.parquet,25,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0001.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,26,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0003.jpg
WikiArt,artist,martiros-saryan,martiros-saryan,Expressionism,Unknown Genre,train-00000-of-00072.parquet,27,datasets/partial/WikiArt_hot40_top15_artist/martiros_saryan/martiros_saryan_0002.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,nude_painting,train-00000-of-00072.parquet,29,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0004.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,portrait,train-00000-of-00072.parquet,30,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0005.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,Unknown Genre,train-00000-of-00072.parquet,33,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0002.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,landscape,train-00000-of-00072.parquet,35,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0005.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,religious_painting,train-00000-of-00072.parquet,36,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0003.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Art_Nouveau,Unknown Genre,train-00000-of-00072.parquet,37,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0004.jpg
WikiArt,artist,raphael-kirchner,raphael-kirchner,Art_Nouveau,nude_painting,train-00000-of-00072.parquet,38,datasets/partial/WikiArt_hot40_top15_artist/raphael_kirchner/raphael_kirchner_0001.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,still_life,train-00000-of-00072.parquet,40,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0004.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,sketch_and_study,train-00000-of-00072.parquet,42,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0005.jpg
WikiArt,artist,eugene-boudin,eugene-boudin,Impressionism,landscape,train-00000-of-00072.parquet,43,datasets/partial/WikiArt_hot40_top15_artist/eugene_boudin/eugene_boudin_0001.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,still_life,train-00000-of-00072.parquet,44,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0005.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,sketch_and_study,train-00000-of-00072.parquet,48,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0006.jpg
WikiArt,artist,raphael-kirchner,raphael-kirchner,Art_Nouveau,genre_painting,train-00000-of-00072.parquet,51,datasets/partial/WikiArt_hot40_top15_artist/raphael_kirchner/raphael_kirchner_0002.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,sketch_and_study,train-00000-of-00072.parquet,52,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0007.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Realism,cityscape,train-00000-of-00072.parquet,56,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0003.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Realism,nude_painting,train-00000-of-00072.parquet,58,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0004.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,59,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0006.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,62,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0003.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Art_Nouveau,Unknown Genre,train-00000-of-00072.parquet,63,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0007.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Realism,genre_painting,train-00000-of-00072.parquet,64,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0002.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,Unknown Genre,train-00000-of-00072.parquet,65,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0006.jpg
